companyName,companySize,companyRevenue
NOV,"27,043","$5,524.00"
Las Vegas Sands,"44,600","$5,505.00"
Martin Marietta Materials,"10,000","$5,493.00"
Marathon Oil,"1,531","$5,467.00"
Mattel,"36,300","$5,458.00"
Microchip Technology,"19,500","$5,438.00"
Harley-Davidson,"5,800","$5,336.00"
Telephone & Data Systems,"8,800","$5,329.00"
ADT,"25,000","$5,307.00"
First Republic Bank,"6,295","$5,305.00"
Warner Music Group,"5,900","$5,301.00"
Pool,"5,650","$5,296.00"
Old Dominion Freight Line,"23,663","$5,256.00"
Fortive,"18,000","$5,255.00"
MDC Holdings,"2,080","$5,255.00"
NGL Energy Partners,997,"$5,243.00"
Edwards Lifesciences,"15,700","$5,233.00"
Hanover Insurance Group,"4,400","$5,228.00"
Syneos Health,"27,443","$5,213.00"
Xylem,"16,700","$5,195.00"
Church & Dwight,"5,100","$5,190.00"
American Axle & Manufacturing,"18,000","$5,157.00"
Meritage Homes,"1,773","$5,141.00"
Workday,"15,200","$5,139.00"
Rush Enterprises,"7,141","$5,126.00"
Yellow,"32,000","$5,122.00"
Encompass Health,"35,681","$5,122.00"
Simon Property Group,"2,850","$5,117.00"
Globe Life,"3,222","$5,113.00"
Skyworks Solutions,"10,945","$5,109.00"
Endeavor Group Holdings,"7,700","$5,078.00"
Twitter,"7,500","$5,078.00"
Leggett & Platt,"20,300","$5,073.00"
Western Union,"10,500","$5,071.00"
PerkinElmer,"16,700","$5,067.00"
SS&C Technologies Holdings,"24,900","$5,051.00"
CUNA Mutual Group,"4,100","$5,050.00"
FMC,"6,400","$5,045.00"
Carlisle,"11,250","$5,030.00"
American Eagle Outfitters,"24,000","$5,011.00"
Core & Main,"4,100","$5,004.00"
Vertiv Holdings,"24,000","$4,998.00"
Broadridge Financial Solutions,"13,704","$4,994.00"
Ingles Markets,"18,460","$4,988.00"
TPG,"1,013","$4,976.00"
Insperity,"3,600","$4,973.00"
Howmet Aerospace,"19,900","$4,972.00"
R.R. Donnelley & Sons,"32,000","$4,964.00"
Keysight Technologies,"14,300","$4,941.00"
Tempur Sealy International,"12,000","$4,931.00"
Scotts Miracle-Gro,"8,050","$4,925.00"
Equifax,"12,700","$4,924.00"
Kelly Services,"7,400","$4,910.00"
NiSource,"7,307","$4,900.00"
OneMain Holdings,"8,800","$4,895.00"
DoorDash,"8,600","$4,888.00"
Avient,"8,700","$4,819.00"
Sanderson Farms,"17,662","$4,800.00"
TransDigm Group,"13,300","$4,798.00"
Stifel Financial,"8,600","$4,783.00"
JELD-WEN Holding,"24,700","$4,772.00"
Ares Management,"2,100","$4,771.00"
Elanco Animal Health,"9,800","$4,765.00"
Prologis,"2,053","$4,759.00"
Welltower,464,"$4,742.00"
Darling Ingredients,"9,900","$4,741.00"
Juniper Networks,"10,191","$4,735.00"
Gartner,"16,600","$4,734.00"
Par Pacific Holdings,"1,336","$4,710.00"
Hubbell,"18,300","$4,704.00"
CME Group,"3,480","$4,690.00"
Nexstar Media Group,"11,817","$4,648.00"
Tutor Perini,"7,800","$4,642.00"
Antero Resources,519,"$4,619.00"
Teledyne Technologies,"14,500","$4,614.00"
Snap-on,"12,800","$4,602.00"
Rent-A-Center,"14,290","$4,584.00"
Covetrus,"4,873","$4,575.00"
Crestwood Equity Partners,645,"$4,569.00"
Louisiana-Pacific,"4,800","$4,553.00"
Urban Outfitters,"16,330","$4,549.00"
Penn Mutual Life Insurance,"3,194","$4,546.00"
Amerco,"22,052","$4,542.00"
TriNet Group,"2,800","$4,540.00"
Sentry Insurance Group,"4,064","$4,526.00"
Illumina,"10,775","$4,526.00"
Iron Mountain,"25,000","$4,492.00"
LCI Industries,"13,900","$4,473.00"
Marvell Technology,"6,712","$4,462.00"
PennyMac Financial Services,"7,208","$4,450.00"
Digital Realty Trust,"3,030","$4,428.00"
TreeHouse Foods,"10,000","$4,406.00"
Ralph Lauren,"16,200","$4,401.00"
Mattress Firm Group,"8,900","$4,393.00"
American National Group,"4,545","$4,392.00"
Autodesk,"12,600","$4,386.00"
Domino's Pizza,"10,450","$4,357.00"
ASGN,"3,900","$4,334.00"
Flowers Foods,"8,900","$4,331.00"
BlueLinx Holdings,"2,045","$4,277.00"
Palo Alto Networks,"10,473","$4,256.00"
Maximus,"35,800","$4,255.00"
Dentsply Sirona,"15,000","$4,251.00"
Hub Group,"4,700","$4,232.00"
Voya Financial,"5,970","$4,230.00"
Bread Financial Holdings,"6,000","$4,230.00"
Weis Markets,"24,000","$4,224.00"
